cat,longitude,latitude,species,hemisphere,grid,grid_long,grid_lat,region,region_close,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
489,8.8419,60.88772,Carex_magellanica,NH,17048,8.75,60.75,4,4,-0.75,82.4722222222222,27.3055555555556,7452.72222222222,160.722222222222,-134.444444444444,295.166666666667,85.1388888888889,-55,96.8611111111111,-95.6666666666667,768.916666666667,93.8333333333333,33.7222222222222,29.9444444444444,265.138888888889,115.472222222222,254.333333333333,153.305555555556
490,16.56835,60.91556,Carex_magellanica,NH,17064,16.75,60.75,4,4,46.1388888888889,81.8888888888889,26,7957.55555555556,210.833333333333,-99.4722222222222,310.305555555556,136.916666666667,-15.4444444444444,150.361111111111,-55.4444444444444,624.166666666667,82.25,31.4444444444444,28.8611111111111,222.444444444444,104.472222222222,205.194444444444,129.916666666667
491,-149.65,60.91667,Carex_magellanica,NH,16890,-149.75,60.75,2,2,1.27777777777778,78.7777777777778,26.6944444444444,7466.52777777778,159.694444444444,-129.75,289.444444444444,54.4444444444444,-4.19444444444444,101.361111111111,-86.5,694.166666666667,102.944444444444,28.6944444444444,38.8055555555556,273.25,97.6111111111111,172.388888888889,170.944444444444
492,24.1348,60.9639,Carex_magellanica,NH,17075,24.25,60.75,4,4,40.8055555555556,78.1111111111111,23.9444444444444,8280.41666666667,211.666666666667,-108.666666666667,320.333333333333,135.027777777778,-26.6944444444444,149.972222222222,-63,622.777777777778,79.7777777777778,29.9444444444444,31.6388888888889,220.833333333333,96.0555555555556,205.777777777778,122.083333333333
493,-101.333,60.967,Carex_magellanica,NH,16987,-101.25,60.75,2,2,-89.9444444444444,92.6666666666667,17,15419.0555555556,179.75,-355.388888888889,535.138888888889,95,-278.805555555556,105.944444444444,-285.472222222222,318.277777777778,56.6388888888889,7.44444444444444,58.8611111111111,149.666666666667,29.1388888888889,137.305555555556,32.1666666666667
494,6.10671,60.97349,Carex_magellanica,NH,17043,6.25,60.75,4,4,26.3333333333333,54.9722222222222,27.0555555555556,5126.44444444444,136.111111111111,-62.5277777777778,198.638888888889,1.80555555555556,45.5,94.3333333333333,-34.4444444444444,2491.05555555556,311.027777777778,112.861111111111,31.4722222222222,873.166666666667,387.722222222222,492.777777777778,736.666666666667
495,10.78957,60.98132,Carex_magellanica,NH,17052,10.75,60.75,4,4,30.75,78.6388888888889,25,8066.75,197,-109.805555555556,306.805555555556,121.083333333333,-27.1111111111111,135.527777777778,-73.1666666666667,650.583333333333,85.8888888888889,29.2777777777778,36.0833333333333,242.972222222222,92.9722222222222,237.777777777778,108.694444444444
496,11.47093,61.02867,Carex_magellanica,NH,16545,11.25,61.25,4,4,17.1388888888889,77.9722222222222,25,8073.75,182.277777777778,-125.583333333333,307.861111111111,118.194444444444,-48.4444444444444,121.805555555556,-86.9166666666667,599.305555555556,85.5277777777778,24.4166666666667,41.6944444444444,238.277777777778,79.6388888888889,237.916666666667,92.25
497,6.57199,61.03699,Carex_magellanica,NH,16536,6.75,61.25,4,4,24.8333333333333,58.5277777777778,27.9166666666667,5248.25,139.25,-66.3888888888889,205.638888888889,-2.11111111111111,46.5,94.8888888888889,-37.9444444444444,1834.61111111111,226.777777777778,85,31.1111111111111,639.166666666667,282.916666666667,368.194444444444,544.75
498,24.37222,61.055,Carex_magellanica,NH,16564,24.25,61.25,4,4,37.6944444444444,83.0277777777778,24.5277777777778,8501.88888888889,214.5,-117.972222222222,332.472222222222,133.5,-30.1388888888889,149.25,-69.9444444444444,602.25,79.0833333333333,29.1111111111111,31.9166666666667,216.166666666667,92.6666666666667,204.277777777778,115.333333333333
499,25.0433,61.0564,Carex_magellanica,NH,16566,25.25,61.25,4,4,37,76.1666666666667,22.9444444444444,8570.80555555555,210.833333333333,-115.305555555556,326.138888888889,133.194444444444,-30.8055555555556,150.027777777778,-71.4166666666667,644.583333333333,82.6388888888889,32.6944444444444,29.6111111111111,224.583333333333,104,209.111111111111,129.444444444444
500,25.2369,61.0726,Carex_magellanica,NH,16566,25.25,61.25,4,4,37,76.1666666666667,22.9444444444444,8570.80555555555,210.833333333333,-115.305555555556,326.138888888889,133.194444444444,-30.8055555555556,150.027777777778,-71.4166666666667,644.583333333333,82.6388888888889,32.6944444444444,29.6111111111111,224.583333333333,104,209.111111111111,129.444444444444
501,13.31291,61.08818,Carex_magellanica,NH,16549,13.25,61.25,4,4,21.9166666666667,78.4166666666667,25,7952.47222222222,185.027777777778,-119.388888888889,304.416666666667,125.888888888889,-70.3055555555556,125.888888888889,-79.7222222222222,674.833333333333,92.6111111111111,30.2777777777778,35.0833333333333,251.861111111111,100.666666666667,251.861111111111,116.666666666667
502,5.90272,61.11844,Carex_magellanica,NH,16534,5.75,61.25,4,4,48.8333333333333,49.8611111111111,27.9444444444444,4563.36111111111,146.055555555556,-29.75,175.805555555556,28.3333333333333,63.5833333333333,108.916666666667,-4.91666666666667,2527.19444444444,318.888888888889,112.583333333333,32.9722222222222,903,393.638888888889,480.222222222222,685.444444444444
503,-144.4,61.18,Carex_magellanica,NH,16394,-144.25,61.25,2,2,-27.3888888888889,105.722222222222,28.4722222222222,9238.41666666667,163.527777777778,-200.944444444444,364.472222222222,68.9166666666667,-30.2777777777778,91.6111111111111,-141.666666666667,849.916666666667,104.944444444444,41.1388888888889,29.3055555555556,294.472222222222,135.972222222222,261.611111111111,188
504,8.45504,61.19094,Carex_magellanica,NH,16539,8.25,61.25,4,4,-18.4166666666667,73.1388888888889,28,6503.86111111111,125.138888888889,-133.694444444444,258.833333333333,45.3055555555556,-61.3333333333333,68.4166666666667,-98.1388888888889,961.305555555556,102.75,43.1111111111111,24.0555555555556,302.888888888889,160.944444444444,279.944444444444,230.416666666667
505,-123.717,61.2,Carex_magellanica,NH,16435,-123.75,61.25,2,2,-38.0833333333333,106.055555555556,20.5277777777778,14490.25,217.055555555556,-287.527777777778,504.583333333333,138.361111111111,-201.638888888889,138.361111111111,-226.694444444444,426.638888888889,75.5,15.7222222222222,50.9166666666667,194.277777777778,57.6388888888889,194.277777777778,58.25
506,-149.71,61.2,Carex_magellanica,NH,16383,-149.75,61.25,2,2,13.1428571428571,84.0857142857143,25.2857142857143,8684.45714285714,181.057142857143,-145.657142857143,326.714285714286,97.4,11.2571428571429,125.571428571429,-93.9142857142857,483.485714285714,74.9142857142857,18.1714285714286,45.4,203.171428571429,63.3142857142857,160.028571428571,96.8857142857143
507,10.64672,61.22795,Carex_magellanica,NH,16544,10.75,61.25,4,4,3.16666666666667,79.1666666666667,25.1388888888889,7978.38888888889,168.861111111111,-137.861111111111,306.722222222222,105,-55.3333333333333,107.027777777778,-99.0833333333333,653.138888888889,92.1111111111111,28.5277777777778,39.4722222222222,256.027777777778,90.4444444444444,255.638888888889,106.388888888889
508,27.88333,61.25,Carex_magellanica,NH,16571,27.75,61.25,4,4,39.1111111111111,72.6111111111111,21.6111111111111,8922.61111111111,216.277777777778,-113.388888888889,329.666666666667,133.472222222222,-29.6111111111111,156.5,-73.9444444444444,636.805555555556,82.5555555555556,32.7777777777778,29.6944444444444,218.5,103.833333333333,199.694444444444,130.444444444444
509,9.09393,61.25685,Carex_magellanica,NH,16541,9.25,61.25,4,4,-5.33333333333333,83.3611111111111,27,7652.13888888889,159.111111111111,-142.833333333333,301.944444444444,84.1388888888889,-60.6666666666667,95.1388888888889,-102.5,725.944444444444,92.0833333333333,32.75,32.25,259.75,107.305555555556,256.916666666667,137.527777777778
510,11.44005,61.25855,Carex_magellanica,NH,16545,11.25,61.25,4,4,17.1388888888889,77.9722222222222,25,8073.75,182.277777777778,-125.583333333333,307.861111111111,118.194444444444,-48.4444444444444,121.805555555556,-86.9166666666667,599.305555555556,85.5277777777778,24.4166666666667,41.6944444444444,238.277777777778,79.6388888888889,237.916666666667,92.25
511,9.83971,61.26467,Carex_magellanica,NH,16542,9.75,61.25,4,4,-3.61111111111111,82.9166666666667,26.5833333333333,7815.5,162.638888888889,-143.666666666667,306.305555555556,98,-60.1666666666667,98.75,-103.194444444444,719.166666666667,94.6944444444444,34.0555555555556,34.2777777777778,264.666666666667,105.583333333333,264.611111111111,128.805555555556
512,7.81187,61.2878,Carex_magellanica,NH,16538,7.75,61.25,4,4,-0.388888888888889,69.5,27.8888888888889,6167.69444444444,135.75,-109.166666666667,244.916666666667,5.47222222222222,-8.52777777777778,81.9444444444444,-75.6666666666667,1076.77777777778,119,47.7777777777778,25.4722222222222,342.111111111111,178.805555555556,275.416666666667,282.361111111111
513,6.92873,61.30602,Carex_magellanica,NH,16536,6.75,61.25,4,4,24.8333333333333,58.5277777777778,27.9166666666667,5248.25,139.25,-66.3888888888889,205.638888888889,-2.11111111111111,46.5,94.8888888888889,-37.9444444444444,1834.61111111111,226.777777777778,85,31.1111111111111,639.166666666667,282.916666666667,368.194444444444,544.75
514,22.95474,61.30655,Carex_magellanica,NH,16561,22.75,61.25,4,4,37.8888888888889,81.5,24.9444444444444,8237.5,210.138888888889,-114.222222222222,324.361111111111,130.805555555556,-28.3055555555556,145.694444444444,-66.2777777777778,626.833333333333,79.3611111111111,31.1666666666667,29.3055555555556,217.222222222222,100.138888888889,205.305555555556,128.555555555556
515,6.51018,61.32397,Carex_magellanica,NH,16536,6.75,61.25,4,4,24.8333333333333,58.5277777777778,27.9166666666667,5248.25,139.25,-66.3888888888889,205.638888888889,-2.11111111111111,46.5,94.8888888888889,-37.9444444444444,1834.61111111111,226.777777777778,85,31.1111111111111,639.166666666667,282.916666666667,368.194444444444,544.75
516,24.4751,61.3298,Carex_magellanica,NH,16564,24.25,61.25,4,4,37.6944444444444,83.0277777777778,24.5277777777778,8501.88888888889,214.5,-117.972222222222,332.472222222222,133.5,-30.1388888888889,149.25,-69.9444444444444,602.25,79.0833333333333,29.1111111111111,31.9166666666667,216.166666666667,92.6666666666667,204.277777777778,115.333333333333
517,13.75334,61.33253,Carex_magellanica,NH,16550,13.75,61.25,4,4,25.0833333333333,79.8611111111111,25.5555555555556,7962.88888888889,189.472222222222,-117.25,306.722222222222,129.083333333333,-66.0277777777778,129.472222222222,-76.6111111111111,680,92.8333333333333,31.4444444444444,33.7222222222222,250.805555555556,104.416666666667,250.777777777778,120.833333333333
518,12.29614,61.36295,Carex_magellanica,NH,16547,12.25,61.25,4,4,15.8611111111111,76.8888888888889,24.9444444444444,8007.25,178.777777777778,-125.555555555556,304.333333333333,119.944444444444,-77.1666666666667,119.944444444444,-87.0833333333333,643.277777777778,89.9722222222222,26.4444444444444,38.9722222222222,249.611111111111,89.1111111111111,249.611111111111,103.083333333333
519,4.95311,61.38268,Carex_magellanica,NH,16532,4.75,61.25,,4,72.8571428571429,44.7142857142857,26.8571428571429,4142.52380952381,162.952380952381,-0.523809523809524,163.47619047619,85.4285714285714,80.8095238095238,127.095238095238,22.7142857142857,2124.71428571429,275.809523809524,97.9047619047619,32.7142857142857,765.428571428571,335.047619047619,543.619047619048,496.238095238095
520,26.88056,61.4175,Carex_magellanica,NH,16569,26.75,61.25,4,4,38.4166666666667,73.3888888888889,22,8809.75,213.805555555556,-114.861111111111,328.666666666667,137,-29.8055555555556,154.083333333333,-73.5555555555556,634.916666666667,82.6111111111111,31.8611111111111,29.4722222222222,219.583333333333,103.25,201.388888888889,126.388888888889
521,15.46489,61.42075,Carex_magellanica,NH,16553,15.25,61.25,4,4,33.9444444444444,85.6944444444444,26.1388888888889,8147.66666666667,204.361111111111,-115.333333333333,319.694444444444,125.944444444444,-26.6388888888889,140.666666666667,-70.6111111111111,648.888888888889,85.1666666666667,30.8611111111111,32.3611111111111,239,102.472222222222,234.25,119.583333333333
522,6.08196,61.44691,Carex_magellanica,NH,16535,6.25,61.25,4,4,30.4444444444444,53.4444444444444,27.9444444444444,4852.94444444444,134.75,-53.3888888888889,188.138888888889,7.02777777777778,47.9166666666667,95,-26.9166666666667,2321.30555555556,290.722222222222,104.527777777778,31.9444444444444,820.194444444444,359.305555555556,446.611111111111,685.944444444444
523,11.80001,61.44843,Carex_magellanica,NH,16546,11.75,61.25,4,4,16.6388888888889,77,24.9722222222222,8060.69444444444,180.694444444444,-125.666666666667,306.361111111111,120.027777777778,-75.8888888888889,121.194444444444,-87.2222222222222,614.361111111111,87.1388888888889,24.5277777777778,41.1111111111111,243.194444444444,82.0833333333333,243.111111111111,94.6388888888889
524,21.7975,61.48528,Carex_magellanica,NH,16559,21.75,61.25,4,4,43.1388888888889,78.0555555555556,24.7777777777778,7986.72222222222,210.055555555556,-101.444444444444,311.5,135.694444444444,-4.44444444444444,149,-56.0833333333333,619.638888888889,76.5833333333333,33.0555555555556,28.3888888888889,208.527777777778,102.722222222222,186.944444444444,135.916666666667
525,23.54871,61.5116,Carex_magellanica,NH,16046,23.75,61.75,4,4,32.6944444444444,84.1388888888889,24.4722222222222,8620.44444444445,210.444444444444,-126.555555555556,337,129,-36.25,145.111111111111,-77.4166666666667,588.5,78.4166666666667,27.3055555555556,32.1944444444444,213.083333333333,90.25,205.083333333333,109.666666666667
526,7.56571,61.52828,Carex_magellanica,NH,16020,7.75,61.75,4,4,-9.47222222222222,65.4166666666667,28.0555555555556,5728.30555555556,117.777777777778,-109.972222222222,227.75,-34.1666666666667,-2.88888888888889,67.5,-78.2777777777778,1142,125.472222222222,54.3055555555556,23.8333333333333,356.638888888889,194.527777777778,283,313.111111111111
527,-149.23,61.53,Carex_magellanica,NH,15860,-149.25,61.75,2,2,-9.66666666666667,93.4444444444444,27.6666666666667,8605.86111111111,169.361111111111,-162.111111111111,331.472222222222,92.1388888888889,-30.1388888888889,104.027777777778,-111.861111111111,487.888888888889,72.7777777777778,19.3333333333333,45.5277777777778,208.611111111111,64.8055555555556,185.333333333333,90.2777777777778
528,5.76869,61.54414,Carex_magellanica,NH,16016,5.75,61.75,4,4,43.7222222222222,45.8611111111111,27.4722222222222,4263.02777777778,135.083333333333,-28.9444444444444,164.027777777778,25.7777777777778,55.0833333333333,99.8611111111111,-6,2377.30555555556,298.527777777778,107.638888888889,31.9444444444444,841,377.583333333333,439.777777777778,614.833333333333
529,10.29904,61.56336,Carex_magellanica,NH,16025,10.25,61.75,4,4,-8.22222222222222,79.3333333333333,26.0277777777778,7653.80555555556,153.166666666667,-145.138888888889,298.305555555556,90.6111111111111,-65.6111111111111,92.1111111111111,-105.138888888889,696.222222222222,95.8333333333333,32.9166666666667,36.1666666666667,263.222222222222,101.277777777778,262.944444444444,124.722222222222
530,6.40791,61.56409,Carex_magellanica,NH,16017,6.25,61.75,4,4,39.5833333333333,49.5555555555556,27.9722222222222,4537.25,136.111111111111,-37.9444444444444,174.055555555556,18.3055555555556,54.3333333333333,99.7222222222222,-13.6388888888889,2107.94444444444,266.083333333333,93.7777777777778,32.9722222222222,750.305555555556,322.166666666667,388,626.833333333333
531,-149.76,61.61,Carex_magellanica,NH,15859,-149.75,61.75,2,2,6.11111111111111,93.4444444444444,27.0277777777778,8876.75,183.944444444444,-155.222222222222,339.166666666667,109.472222222222,-10.9722222222222,122.25,-101.527777777778,487.055555555556,77.6666666666667,18.0555555555556,50.3055555555556,219.222222222222,62.75,187.138888888889,82.9444444444444
532,-150.07115,61.61117,Carex_magellanica,NH,15858,-150.25,61.75,2,2,13.5833333333333,98.1111111111111,26.8055555555556,9433.66666666667,196.527777777778,-162.277777777778,358.805555555556,119.583333333333,4.36111111111111,135.027777777778,-104.555555555556,528.222222222222,85.6944444444444,19.2222222222222,49.9166666666667,233.861111111111,68.7222222222222,190.027777777778,90.5555555555556
533,5.03928,61.61999,Carex_magellanica,NH,16015,5.25,61.75,4,4,57.3333333333333,43.0833333333333,26.9444444444444,4053.61111111111,144.916666666667,-12,156.916666666667,44.4722222222222,65.9722222222222,110.444444444444,9.55555555555556,2337.36111111111,300.583333333333,106.777777777778,31.9722222222222,825.916666666667,376.166666666667,524.416666666667,575.638888888889
534,26.1191,61.6601,Carex_magellanica,NH,16051,26.25,61.75,4,4,35.0555555555556,74.6944444444444,22,8841.91666666667,212.222222222222,-119.944444444444,332.166666666667,133.888888888889,-33.5833333333333,151.583333333333,-77.3333333333333,647.722222222222,84.6944444444444,33.1944444444444,29,225.305555555556,105.75,212.583333333333,130.722222222222
535,14.95132,61.68278,Carex_magellanica,NH,16034,14.75,61.75,4,4,23.5833333333333,82.1111111111111,25.4722222222222,8137.47222222222,191.277777777778,-124.916666666667,316.194444444444,127.722222222222,-67.6111111111111,130.111111111111,-80.6388888888889,655.111111111111,90.8888888888889,31.6944444444444,33.4444444444444,242.972222222222,104.416666666667,242.722222222222,119.666666666667
536,13.13988,61.69413,Carex_magellanica,NH,16031,13.25,61.75,4,4,15.5555555555556,77.5,24.9722222222222,7969.02777777778,178.027777777778,-127.333333333333,305.361111111111,119.611111111111,-66.0555555555556,119.611111111111,-86.5555555555556,661.916666666667,93.5555555555556,29.8333333333333,35.9166666666667,251,99.4722222222222,251,114.916666666667
537,8.43794,61.70525,Carex_magellanica,NH,16021,8.25,61.75,4,4,-17.9166666666667,70,28,6200,119.027777777778,-127.25,246.277777777778,41.2777777777778,-44.1111111111111,65.0277777777778,-93.2222222222222,971.361111111111,100.972222222222,45.0277777777778,23.0833333333333,297.777777777778,166.972222222222,273.944444444444,243.722222222222
538,6.18986,61.73973,Carex_magellanica,NH,16017,6.25,61.75,4,4,39.5833333333333,49.5555555555556,27.9722222222222,4537.25,136.111111111111,-37.9444444444444,174.055555555556,18.3055555555556,54.3333333333333,99.7222222222222,-13.6388888888889,2107.94444444444,266.083333333333,93.7777777777778,32.9722222222222,750.305555555556,322.166666666667,388,626.833333333333
539,17.35915,61.75435,Carex_magellanica,NH,16039,17.25,61.75,4,4,40.0294117647059,83.7647058823529,25.8235294117647,8246.55882352941,207.264705882353,-113.352941176471,320.617647058824,134.676470588235,-21.8529411764706,147.5,-66.2647058823529,652.441176470588,79.1764705882353,36.5588235294118,25.5588235294118,220.529411764706,115.058823529412,196.411764705882,142.264705882353
540,-127.183,61.767,Carex_magellanica,NH,15904,-127.25,61.75,2,2,-72.0555555555556,106.277777777778,22.5555555555556,12341.4444444444,161.472222222222,-300,461.472222222222,84.1111111111111,-147.333333333333,84.1111111111111,-228.222222222222,547.166666666667,83.3888888888889,28.6944444444444,36.6944444444444,215.111111111111,90.6666666666667,215.111111111111,96.2777777777778
541,11.14554,61.80353,Carex_magellanica,NH,16027,11.25,61.75,4,4,5.52777777777778,77.5277777777778,24.8611111111111,8022.13888888889,169.083333333333,-138.638888888889,307.722222222222,107.75,-53.2222222222222,109.305555555556,-98.0555555555556,572.611111111111,87.5277777777778,22.1944444444444,45.25,237.694444444444,72.6944444444444,237.555555555556,86
542,-150.8,61.81,Carex_magellanica,NH,15857,-150.75,61.75,2,2,6,103.5,27.0833333333333,9709.94444444445,197.638888888889,-177.25,374.888888888889,87.4444444444444,7.30555555555556,130.694444444444,-117.444444444444,585.222222222222,93.8888888888889,20.2222222222222,46.0555555555556,246.527777777778,75.8055555555556,192.694444444444,110.027777777778
543,6.85799,61.81088,Carex_magellanica,NH,16018,6.75,61.75,4,4,18.8611111111111,54.2777777777778,28.1388888888889,4827.91666666667,124.083333333333,-64.5,188.583333333333,-5.41666666666667,36.6666666666667,83.6666666666667,-37.9722222222222,1791.75,223.555555555556,83.7777777777778,30.3888888888889,618.166666666667,277.861111111111,350.277777777778,543.583333333333
544,15.56763,61.84549,Carex_magellanica,NH,16036,15.75,61.75,4,4,30.9722222222222,85.1944444444444,25.9444444444444,8269.47222222222,201.222222222222,-122.638888888889,323.861111111111,124.361111111111,-30.7777777777778,138.75,-75.8333333333333,635.027777777778,83.1111111111111,31.1944444444444,31.6388888888889,234.111111111111,102.833333333333,226.027777777778,119.777777777778
545,25.1906,61.8798,Carex_magellanica,NH,16049,25.25,61.75,4,4,34.2222222222222,78.1111111111111,23.0277777777778,8673.08333333333,211.611111111111,-120.277777777778,331.888888888889,131.222222222222,-33.7222222222222,148.5,-75.8611111111111,637.833333333333,83.5277777777778,32.1388888888889,29.8888888888889,224.5,102.361111111111,213.472222222222,127.027777777778
546,27.8813,61.9024,Carex_magellanica,NH,16054,27.75,61.75,4,4,35.6944444444444,72.1944444444444,21.0555555555556,8998.13888888889,213.75,-118.361111111111,332.111111111111,136.944444444444,-33.5277777777778,154.472222222222,-78.6388888888889,640.527777777778,83.3888888888889,33.7777777777778,28.9444444444444,220.111111111111,105.305555555556,205.138888888889,131.861111111111
547,5.97147,61.91214,Carex_magellanica,NH,16016,5.75,61.75,4,4,43.7222222222222,45.8611111111111,27.4722222222222,4263.02777777778,135.083333333333,-28.9444444444444,164.027777777778,25.7777777777778,55.0833333333333,99.8611111111111,-6,2377.30555555556,298.527777777778,107.638888888889,31.9444444444444,841,377.583333333333,439.777777777778,614.833333333333
548,25.6921,61.9349,Carex_magellanica,NH,16050,25.75,61.75,4,4,35.4722222222222,75.6944444444444,22.25,8765.47222222222,212.694444444444,-118.5,331.194444444444,133.638888888889,-32.6111111111111,151.111111111111,-75.6944444444444,649.611111111111,84.7777777777778,33.3333333333333,29.0833333333333,226.472222222222,105.583333333333,214.972222222222,131.361111111111
549,12.61936,61.97003,Carex_magellanica,NH,16030,12.75,61.75,4,4,9.88888888888889,76.7222222222222,24.8611111111111,7983.63888888889,172.055555555556,-132.833333333333,304.888888888889,113.916666666667,-70.0833333333333,113.916666666667,-92.5555555555556,652.944444444444,93.4166666666667,28.1944444444444,37.9444444444444,253,94.5833333333333,253,109.472222222222
550,9.29613,62.02051,Carex_magellanica,NH,15493,9.25,62.25,4,4,-18.4722222222222,73.8888888888889,27.6111111111111,6652.13888888889,126.888888888889,-136.694444444444,263.583333333333,59.7222222222222,-63.4722222222222,70.4166666666667,-99.1111111111111,922.888888888889,104.083333333333,46.8888888888889,23.25,297.805555555556,160.75,286.888888888889,213.5
551,26.08723,62.09961,Carex_magellanica,NH,15521,26.25,62.25,4,4,31.1666666666667,75.0555555555556,22,8909.86111111111,210.416666666667,-124.805555555556,335.222222222222,130.916666666667,-38,149.055555555556,-81.9444444444444,641.194444444444,85.3611111111111,32.8055555555556,29.5555555555556,225.388888888889,103.333333333333,217,128.638888888889
552,9.99101,62.15349,Carex_magellanica,NH,15494,9.75,62.25,4,4,-13.4166666666667,75.9722222222222,27.1111111111111,6981.33333333333,137.138888888889,-137.777777777778,274.916666666667,67.5277777777778,-69.1388888888889,79.2222222222222,-99.4444444444444,831.916666666667,101,42,26.9166666666667,283.861111111111,137.861111111111,277.222222222222,177.583333333333
553,25.4871,62.1719,Carex_magellanica,NH,15519,25.25,62.25,4,4,28.2222222222222,79.3333333333333,23.1388888888889,8736.5,208.305555555556,-127.555555555556,335.861111111111,126.027777777778,-39.9166666666667,143.611111111111,-82.5277777777778,634.805555555556,84.9166666666667,31.75,30.3611111111111,225.833333333333,101,218.5,125.083333333333
554,30.33528,62.22528,Carex_magellanica,NH,15529,30.25,62.25,4,4,21.9166666666667,76.8055555555556,21.0277777777778,9428.05555555555,208.222222222222,-145.694444444444,353.916666666667,129.194444444444,-58.9722222222222,145.333333333333,-99.0833333333333,634.416666666667,83.5,31.0555555555556,30.9444444444444,222.388888888889,100.805555555556,211.694444444444,121.055555555556
555,25.6793,62.2309,Carex_magellanica,NH,15520,25.75,62.25,4,4,31.0555555555556,75.7777777777778,22.0555555555556,8833.47222222222,210.472222222222,-123.361111111111,333.833333333333,129.777777777778,-37.4166666666667,147.972222222222,-80.8611111111111,646,86.0555555555556,32.8333333333333,29.8055555555556,228.055555555556,103.75,220.916666666667,129.277777777778
556,9.00806,62.24337,Carex_magellanica,NH,15493,9.25,62.25,4,4,-18.4722222222222,73.8888888888889,27.6111111111111,6652.13888888889,126.888888888889,-136.694444444444,263.583333333333,59.7222222222222,-63.4722222222222,70.4166666666667,-99.1111111111111,922.888888888889,104.083333333333,46.8888888888889,23.25,297.805555555556,160.75,286.888888888889,213.5
557,25.2533,62.28,Carex_magellanica,NH,15519,25.25,62.25,4,4,28.2222222222222,79.3333333333333,23.1388888888889,8736.5,208.305555555556,-127.555555555556,335.861111111111,126.027777777778,-39.9166666666667,143.611111111111,-82.5277777777778,634.805555555556,84.9166666666667,31.75,30.3611111111111,225.833333333333,101,218.5,125.083333333333
558,23.9397,62.3111,Carex_magellanica,NH,15516,23.75,62.25,4,4,27.4444444444444,86.9166666666667,25,8577.91666666667,207.666666666667,-132.638888888889,340.305555555556,123.611111111111,-40.25,139.416666666667,-82.2777777777778,588.805555555556,78.9444444444444,27.4722222222222,31.6944444444444,213.388888888889,91,204.444444444444,110.25
559,-152.12,62.32,Carex_magellanica,NH,15311,-152.25,62.25,2,2,-35.7222222222222,103.111111111111,26.3333333333333,10238.6944444444,168.833333333333,-216.444444444444,385.277777777778,83.6944444444444,-42.0555555555556,99.3333333333333,-159.5,480.25,74.8611111111111,17.6388888888889,41.6666666666667,197.027777777778,67.4722222222222,182.388888888889,94.4166666666667
560,24.3201,62.3729,Carex_magellanica,NH,15517,24.25,62.25,4,4,26.9444444444444,86.5277777777778,25,8583.69444444445,208.083333333333,-132.305555555556,340.388888888889,123.388888888889,-40.1666666666667,139.583333333333,-82.5555555555556,595.833333333333,80.1388888888889,28.7222222222222,31.5833333333333,215.277777777778,92.9444444444444,206.694444444444,113.027777777778
561,25.9419,62.4216,Carex_magellanica,NH,15520,25.75,62.25,4,4,31.0555555555556,75.7777777777778,22.0555555555556,8833.47222222222,210.472222222222,-123.361111111111,333.833333333333,129.777777777778,-37.4166666666667,147.972222222222,-80.8611111111111,646,86.0555555555556,32.8333333333333,29.8055555555556,228.055555555556,103.75,220.916666666667,129.277777777778
562,7.70992,62.44288,Carex_magellanica,NH,15490,7.75,62.25,4,4,-3.41666666666667,61.5,28.1666666666667,5400.94444444444,115.444444444444,-97.4722222222222,212.916666666667,-32.3333333333333,18.8888888888889,69.2777777777778,-67.5833333333333,1188.25,137.166666666667,60.0555555555556,23.8611111111111,376.222222222222,200,276.527777777778,341.833333333333
563,-150.65,62.45,Carex_magellanica,NH,15314,-150.75,62.25,2,2,-6.94444444444444,104.472222222222,26.4722222222222,10154.6388888889,193.944444444444,-194.333333333333,388.277777777778,108.138888888889,-7.05555555555556,124.916666666667,-134.5,625.666666666667,96,23.0833333333333,44.5277777777778,263.722222222222,83.5833333333333,220.166666666667,116.972222222222
564,12.57119,62.4872,Carex_magellanica,NH,15500,12.75,62.25,4,4,4.13888888888889,75.3611111111111,24.5,7886.5,164.027777777778,-138.222222222222,302.25,106.944444444444,-54.8888888888889,106.944444444444,-96.9444444444444,670.444444444444,95.0277777777778,30.6111111111111,36.0833333333333,254.805555555556,100.333333333333,254.805555555556,118.388888888889
565,-155.05,62.51,Carex_magellanica,NH,14760,-155.25,62.75,2,2,-32.6111111111111,107.222222222222,22.8888888888889,12947.3611111111,197.75,-261.666666666667,459.416666666667,109.444444444444,-107.194444444444,130.138888888889,-198.416666666667,441.527777777778,86.7777777777778,17.1388888888889,59.7777777777778,215,52.8611111111111,202.833333333333,65.1111111111111
566,25.1039,62.5114,Carex_magellanica,NH,14973,25.25,62.75,4,4,24.3611111111111,80.8333333333333,23.2777777777778,8789.38888888889,205.972222222222,-133.555555555556,339.527777777778,122.972222222222,-44.3333333333333,140.611111111111,-87.0555555555556,608.861111111111,83.1666666666667,30,31.5277777777778,219.638888888889,95.3888888888889,213.777777777778,117.361111111111
567,9.51846,62.53672,Carex_magellanica,NH,14945,9.75,62.75,4,4,6.88888888888889,73.0555555555556,27.8333333333333,6537.47222222222,147.361111111111,-110.388888888889,257.75,78.9444444444444,-12.5833333333333,93.2222222222222,-73.75,900.555555555556,100.111111111111,48.1944444444444,23.0555555555556,287.805555555556,157.277777777778,267.861111111111,210.638888888889
